Sl.No.,BO_MFClientID,DOB,InvestType,Paymentmode,FundType,MFNo,MFInvestment,Tenure,TenureInDays,Gender,ADDITIONALPRODUCTSPURCHASED,RFMID,Brokerage_Per_Day,Status
89916,438397,00:00.0,SIP,CHEQUE,ONGOING,1,3989.751,22231,22231,F,N,141,0.179467905,Continuing
89917,438399,00:00.0,SIP,CHEQUE,ONGOING,1,119460.613,64360,64360,M,N,151,1.856131339,Continuing
89918,438539,00:00.0,SIP,CHEQUE,ONGOING,2,309078.5772,127364,63682,F,N,151,4.85346844,Continuing
89919,438542,00:00.0,LUMSUM,CHEQUE,ONGOING,1,300309.6692,79370,79370,F,N,151,3.783667245,Completed
89920,438543,00:00.0,SIP,CHEQUE,ONGOING,2,412943.8865,133029,66514,M,N,151,6.208375477,Completed
89921,438546,00:00.0,SIP,CHEQUE,ONGOING,2,74047.7764,133582,66791,F,N,151,1.108649016,Completed
89922,438547,00:00.0,SIP,CHEQUE,ONGOING,1,1695788.776,52227,52227,M,N,152,32.46958041,Continuing
89923,438574,00:00.0,SIP,CHEQUE,ONGOING,1,123617.1967,11700,11700,M,N,151,10.56557237,Continuing
89924,438577,00:00.0,LUMSUM,CHEQUE,ONGOING,1,2134874.573,78140,78140,M,Y,425,27.32114888,Completed
89925,438578,00:00.0,LUMSUM,CHEQUE,ONGOING,6,2556636.945,353701,58950,M,Y,523,43.36958346,Continuing
89926,438579,00:00.0,LUMSUM,CHEQUE,NFO,4,1363566.444,19501,4875,M,N,154,279.7059372,Continuing
89927,438581,00:00.0,SIP,CHEQUE,ONGOING,1,139298.0857,65461,65461,M,N,151,2.127955358,Completed
89928,438582,00:00.0,SIP,CHEQUE,ONGOING,1,62025.4124,67805,67805,M,N,151,0.914761631,Completed
89929,438584,00:00.0,SIP,CHEQUE,ONGOING,2,281575.4084,69494,34747,F,N,151,8.103589041,Continuing
89930,438594,00:00.0,LUMSUM,CHEQUE,ONGOING,9,2141175.355,104369,11596,M,Y,525,184.647754,Continuing
89931,438597,00:00.0,LUMSUM,CHEQUE,ONGOING,2,10088.4837,4,2,F,N,555,5044.24185,Continuing
89932,438647,00:00.0,LUMSUM,CHEQUE,ONGOING,1,97285.4411,805,805,F,N,353,120.8514796,Continuing
89933,438659,00:00.0,LUMSUM,CHEQUE,NFO,6,947231.0184,119718,19953,M,Y,422,47.47311273,Continuing
89934,438665,00:00.0,LUMSUM,CHEQUE,NFO,9,1396397.091,212116,23568,F,N,152,59.24970683,Continuing
89935,438669,00:00.0,LUMSUM,CHEQUE,ONGOING,2,260017.2867,1612,806,F,N,354,322.6020927,Continuing
89936,438674,00:00.0,SIP,CHEQUE,ONGOING,1,530532.3866,68532,68532,M,N,151,7.741381933,Completed
89937,438676,00:00.0,LUMSUM,CHEQUE,ONGOING,1,63727.8494,49,49,F,N,111,1300.568355,Continuing
89938,438686,00:00.0,LUMSUM,CHEQUE,ONGOING,5,529513.5609,362443,72488,M,N,151,7.3048444,Completed
89939,438687,00:00.0,SIP,CHEQUE,ONGOING,1,17622.0555,66310,66310,M,N,151,0.265752609,Completed
89940,438689,00:00.0,LUMSUM,CHEQUE,ONGOING,8,3478266.43,371789,46473,M,N,152,74.84488693,Continuing
89941,438690,00:00.0,LUMSUM,CHEQUE,NFO,1,40572.7,1,1,M,N,555,40572.7,Stopped
89942,438691,00:00.0,SIP,CHEQUE,ONGOING,2,359942.32,107924,53962,F,N,151,6.670292428,Continuing
89943,438693,00:00.0,LUMSUM,CHEQUE,NFO,1,1361227.7,1,1,F,N,555,1361227.7,Stopped
89944,438694,00:00.0,SIP,DD,ONGOING,1,4248.0754,885,885,F,N,351,4.800085198,Continuing
89945,438695,00:00.0,LUMSUM,CHEQUE,NFO,6,1060161.188,162023,27003,M,N,152,39.26086685,Continuing
89946,438700,00:00.0,SIP,CHEQUE,ONGOING,1,17792.5211,3885,3885,M,N,151,4.579799511,Continuing
89947,438701,00:00.0,SIP,CHEQUE,NFO,1,163305.6349,65222,65222,F,Y,223,2.503842797,Completed
89948,438702,00:00.0,SIP,CHEQUE,ONGOING,1,279486.5681,147144,147144,M,N,151,1.899408526,Completed
89949,438703,00:00.0,SIP,CHEQUE,ONGOING,1,56035.7863,40395,40395,F,N,151,1.387196096,Continuing
89950,438706,00:00.0,SIP,CHEQUE,ONGOING,2,223234.3368,62355,31177,M,N,325,7.160225063,Continuing
89951,438707,00:00.0,SIP,CHEQUE,ONGOING,4,203272.1207,267361,66840,M,N,151,3.041174756,Completed
89952,438708,00:00.0,SIP,CHEQUE,ONGOING,3,17908.1396,8438,2812,F,N,151,6.368470697,Continuing
89953,438709,00:00.0,SIP,CHEQUE,ONGOING,1,212684.1754,67530,67530,M,N,151,3.149476905,Completed
89954,438710,00:00.0,SIP,CHEQUE,ONGOING,1,103955.6503,66937,66937,M,N,151,1.553037189,Completed
89955,438711,00:00.0,SIP,CHEQUE,ONGOING,1,8165.3355,5205,5205,M,N,151,1.568748415,Continuing
89956,438831,00:00.0,SIP,CHEQUE,ONGOING,5,521446.9089,137310,27462,M,Y,151,18.98794366,Continuing
89957,438832,00:00.0,SIP,CHEQUE,ONGOING,4,1076733.73,259639,64909,M,N,151,16.58835801,Completed
89958,438835,00:00.0,SIP,CHEQUE,ONGOING,1,312.4797,62476,62476,M,N,322,0.005001596,Continuing
89959,438836,00:00.0,LUMSUM,CHEQUE,ONGOING,4,1368797.834,138984,34746,M,N,152,39.39440033,Continuing
89960,438840,00:00.0,SIP,CHEQUE,ONGOING,3,41243.4488,1624,541,F,N,352,76.23558004,Continuing
89961,438842,00:00.0,SIP,CHEQUE,ONGOING,1,6447.1118,4194,4194,M,N,231,1.537222651,Continuing
89962,438845,00:00.0,SIP,CHEQUE,ONGOING,1,6325.8799,65727,65727,F,N,131,0.096244769,Completed
89963,438883,00:00.0,SIP,CHEQUE,ONGOING,1,89081.9861,18686,18686,M,N,151,4.767311683,Continuing
89964,438884,00:00.0,SIP,CHEQUE,ONGOING,2,24554.3095,16228,8114,M,N,222,3.026165825,Continuing
89965,438885,00:00.0,SIP,CHEQUE,ONGOING,1,138749.2021,25331,25331,M,N,151,5.47744669,Continuing
89966,438890,00:00.0,SIP,CHEQUE,ONGOING,1,143655.48,69361,69361,M,N,151,2.071127579,Completed
89967,438893,00:00.0,SIP,CHEQUE,ONGOING,1,94408.8704,68206,68206,F,N,151,1.384172513,Completed
89968,438962,00:00.0,LUMSUM,CHEQUE,ONGOING,1,58931.0671,802,802,M,N,352,73.48013354,Continuing
89969,438973,00:00.0,LUMSUM,CHEQUE,ONGOING,11,7413344.986,280775,25525,F,N,154,290.4346713,Continuing
89970,439006,00:00.0,SIP,CHEQUE,ONGOING,3,71783.3627,21684,7228,M,N,151,9.931289804,Continuing
89971,439007,00:00.0,SIP,CHEQUE,ONGOING,7,75962.6407,40666,5809,M,N,151,13.07671556,Continuing
89972,439008,00:00.0,SIP,CHEQUE,ONGOING,1,85290.4832,60863,60863,M,N,151,1.401351941,Continuing
89973,439009,00:00.0,LUMSUM,CHEQUE,ONGOING,1,404.8459,79694,79694,M,N,121,0.005080005,Completed
89974,439011,00:00.0,LUMSUM,CHEQUE,ONGOING,1,322808.5253,70099,70099,F,N,151,4.605037523,Completed
89975,439013,00:00.0,SIP,CHEQUE,ONGOING,5,468760.9086,202896,40579,M,N,151,11.55181026,Continuing
89976,439017,00:00.0,LUMSUM,CHEQUE,ONGOING,9,54823.5897,63136,7015,M,N,151,7.81519454,Continuing
89977,439019,00:00.0,SIP,CHEQUE,ONGOING,1,1111127.121,94100,94100,M,N,151,11.80793965,Completed
89978,439020,00:00.0,SIP,CHEQUE,ONGOING,1,7340.3094,44677,44677,M,N,141,0.164297276,Continuing
89979,439021,00:00.0,SIP,CHEQUE,NFO,1,4832.4536,70267,70267,M,N,131,0.068772733,Completed
89980,439023,00:00.0,LUMSUM,CHEQUE,ONGOING,4,424288.232,133130,33282,F,N,151,12.74827931,Continuing
89981,439025,00:00.0,SIP,CHEQUE,ONGOING,2,51805.5775,10407,5203,M,N,151,9.956866712,Continuing
89982,439026,00:00.0,SIP,CHEQUE,ONGOING,1,87342.6947,64415,64415,M,N,151,1.355937199,Continuing
89983,439027,00:00.0,SIP,CHEQUE,ONGOING,4,1560958.834,154344,38586,M,N,152,40.45402047,Continuing
89984,439030,00:00.0,LUMSUM,CHEQUE,NFO,1,13615,1,1,F,N,555,13615,Stopped
89985,439044,00:00.0,SIP,CHEQUE,ONGOING,1,193852.4474,69013,69013,F,N,151,2.808926541,Completed
89986,439045,00:00.0,SIP,CHEQUE,ONGOING,2,15084.0773,128344,64172,M,N,322,0.235056992,Continuing
89987,439046,00:00.0,SIP,CHEQUE,ONGOING,2,350717.2209,104069,52034,M,N,151,6.740154916,Continuing
89988,439048,00:00.0,LUMSUM,CHEQUE,NFO,1,13615,1,1,M,N,555,13615,Stopped
89989,439049,00:00.0,SIP,CHEQUE,ONGOING,3,107402.858,133210,44403,M,N,151,2.418819855,Continuing
89990,439050,00:00.0,SIP,CHEQUE,ONGOING,3,10324.6305,2400,800,M,N,351,12.90578812,Continuing
89991,439082,00:00.0,SIP,CHEQUE,ONGOING,2,276240.1513,47880,23940,F,Y,522,11.53885344,Continuing
89992,439083,00:00.0,SIP,CHEQUE,ONGOING,2,200179.6852,133282,66641,F,N,151,3.003851761,Completed
89993,439084,00:00.0,SIP,CHEQUE,ONGOING,2,526254.0751,131095,65547,M,N,151,8.028652343,Completed
89994,439086,00:00.0,SIP,CHEQUE,ONGOING,1,91943.1574,823,823,M,N,353,111.7170807,Continuing
89995,439104,00:00.0,SIP,CHEQUE,NFO,1,555819.0868,65600,65600,M,Y,413,8.472851933,Completed
89996,439106,00:00.0,LUMSUM,CHEQUE,NFO,2,182220.82,30,15,M,N,555,12148.05467,Continuing
89997,439107,00:00.0,LUMSUM,CHEQUE,NFO,5,3032578.712,147072,29414,M,N,153,103.0998406,Continuing
89998,439110,00:00.0,SIP,CHEQUE,ONGOING,1,106607.9177,65485,65485,M,N,151,1.627974616,Completed
89999,439132,00:00.0,LUMSUM,CHEQUE,ONGOING,2,1340651.8,121572,60786,M,Y,444,22.05527259,Continuing
90000,439133,00:00.0,SIP,CHEQUE,ONGOING,3,18815.6169,543,181,M,Y,334,103.9536845,Continuing
90001,439134,00:00.0,SIP,CHEQUE,ONGOING,2,131248.0424,69383,34691,F,N,151,3.783345605,Continuing
90002,439135,00:00.0,SIP,CHEQUE,ONGOING,7,1542240.542,369501,52785,M,N,152,29.21740157,Continuing
90003,439137,00:00.0,SIP,CHEQUE,ONGOING,1,0.0845,28704,28704,M,N,121,2.94E-06,Continuing
90004,439139,00:00.0,SIP,CHEQUE,ONGOING,1,259.6903,11914,11914,F,N,121,0.021797071,Continuing
90005,439141,00:00.0,LUMSUM,CHEQUE,ONGOING,1,23010.1124,24806,24806,F,N,151,0.927602693,Continuing
90006,439142,00:00.0,SIP,CHEQUE,ONGOING,1,26957.7,7,7,M,N,555,3851.1,Continuing
90007,439144,00:00.0,LUMSUM,CHEQUE,ONGOING,1,260248.5909,66533,66533,F,N,322,3.911571564,Completed
90008,439146,00:00.0,LUMSUM,CHEQUE,ONGOING,2,126750.5128,66842,33421,M,Y,224,3.792541001,Continuing
90009,439149,00:00.0,LUMSUM,CHEQUE,NFO,1,13615,1,1,M,N,555,13615,Stopped
90010,439150,00:00.0,SIP,CHEQUE,ONGOING,1,56918.0203,68473,68473,F,N,151,0.831247649,Completed
90011,439151,00:00.0,SIP,CHEQUE,ONGOING,5,606076.4024,330559,66111,M,N,151,9.167557629,Completed
90012,439152,00:00.0,LUMSUM,CHEQUE,ONGOING,1,64773.7748,71299,71299,F,Y,154,0.908480831,Completed
90013,439153,00:00.0,LUMSUM,CHEQUE,NFO,1,16338,1,1,M,N,555,16338,Stopped
90014,439155,00:00.0,SIP,CHEQUE,NFO,1,88316.5839,51800,51800,M,Y,321,1.704953357,Continuing
90015,439156,00:00.0,SIP,CHEQUE,ONGOING,2,21615.6847,13798,6899,M,N,122,3.133162009,Continuing
90016,439157,00:00.0,SIP,CHEQUE,ONGOING,12,2676048.969,670030,55835,M,N,152,47.92780458,Continuing
90017,439158,00:00.0,LUMSUM,CHEQUE,ONGOING,1,1048920.808,71633,71633,M,N,151,14.6429831,Completed
90018,439162,00:00.0,SIP,CHEQUE,ONGOING,5,435601.7721,181035,36207,M,N,151,12.03087171,Continuing
90019,439163,00:00.0,SIP,CHEQUE,ONGOING,1,2416.6029,2,2,M,N,555,1208.30145,Continuing
90020,439167,00:00.0,SIP,CHEQUE,ONGOING,5,599683.2178,47821,9564,F,Y,111,62.70213486,Continuing
90021,439220,00:00.0,SIP,CHEQUE,ONGOING,1,129829.2907,35486,35486,M,N,151,3.658605949,Continuing
90022,439221,00:00.0,SIP,CHEQUE,ONGOING,1,259938.1481,45068,45068,F,N,151,5.767687674,Continuing
90023,439226,00:00.0,SIP,CHEQUE,ONGOING,2,12141.702,35223,17611,F,N,151,0.689438533,Continuing
90024,439266,00:00.0,SIP,CHEQUE,ONGOING,1,5112.5513,1956,1956,M,Y,151,2.613778783,Continuing
90025,439267,00:00.0,LUMSUM,CHEQUE,ONGOING,2,585934.0365,76928,38464,M,N,151,15.23331002,Continuing
90026,439269,00:00.0,SIP,CHEQUE,ONGOING,1,33035.9692,72001,72001,F,N,151,0.458826533,Completed
90027,439270,00:00.0,SIP,CHEQUE,ONGOING,2,870793.2379,130218,65109,F,Y,422,13.37439122,Completed
90028,439272,00:00.0,SIP,CHEQUE,ONGOING,2,2675567.579,2782856,1391428,F,Y,312,1.9228933,Completed
90029,439273,00:00.0,SIP,CHEQUE,ONGOING,1,500630.6774,65551,65551,M,N,151,7.637269872,Completed
90030,439277,00:00.0,SIP,CHEQUE,ONGOING,1,3786.5914,5397,5397,M,N,151,0.701610413,Continuing
90031,439278,00:00.0,LUMSUM,CHEQUE,ONGOING,2,150398.351,33098,16549,F,N,151,9.088062783,Continuing
90032,439284,00:00.0,SIP,CHEQUE,ONGOING,3,1368074.161,132657,44219,M,N,152,30.9386047,Continuing
90033,439285,00:00.0,SIP,CHEQUE,ONGOING,1,4959.167,3,3,F,N,555,1653.055667,Continuing
90034,439286,00:00.0,SIP,CHEQUE,ONGOING,20,1966816.319,354167,17708,M,N,153,111.0693652,Continuing
90035,439290,00:00.0,SIP,CHEQUE,ONGOING,2,16760.7207,3825,1912,F,N,151,8.766067312,Continuing
90036,439291,00:00.0,SIP,CHEQUE,ONGOING,2,683448.9897,138989,69494,M,N,151,9.834647447,Completed
90037,67010,00:00.0,SIP,CHEQUE,ONGOING,5,1676207.816,229968,45993,M,Y,523,36.4448463,Continuing
90038,120490,00:00.0,SIP,CHEQUE,ONGOING,2,95361.6561,194782,97391,M,Y,523,0.979162922,Completed
90039,2132,00:00.0,LUMSUM,CHEQUE,ONGOING,7,753143.9599,916246,130892,M,Y,542,5.753934235,Completed
90040,68552,00:00.0,SIP,CHEQUE,ONGOING,5,67892.4649,304734,60946,M,N,111,1.113977372,Continuing
90041,233375,00:00.0,SIP,CHEQUE,ONGOING,1,196309.1682,121248,121248,F,Y,524,1.619071393,Completed
90042,47391,00:00.0,SIP,CHEQUE,ONGOING,1,197304.7687,6517,6517,F,N,152,30.27539799,Continuing
90043,23710,00:00.0,LUMSUM,CHEQUE,NFO,1,1.3177,51579,51579,M,Y,422,2.55E-05,Continuing
90044,11739,00:00.0,SIP,CHEQUE,ONGOING,2,113708.5975,16946,8473,M,Y,422,13.42011065,Continuing
90045,147044,00:00.0,LUMSUM,CHEQUE,ONGOING,1,88400.3595,4141,4141,F,N,151,21.34758742,Continuing
90046,47977,00:00.0,SIP,CHEQUE,ONGOING,4,323422.3964,582873,145718,M,Y,334,2.21950889,Completed
90047,62878,00:00.0,SIP,CHEQUE,ONGOING,1,1835.9123,190220,190220,M,Y,322,0.009651521,Completed
90048,217318,00:00.0,SIP,CHEQUE,ONGOING,1,16993.2766,2904,2904,M,Y,444,5.85167927,Continuing
90049,14949,00:00.0,SIP,CHEQUE,ONGOING,2,93235.1727,6532,3266,M,N,152,28.54720536,Continuing
90050,22,00:00.0,SIP,CHEQUE,ONGOING,6,564124.8379,224458,37409,M,N,151,15.07992296,Continuing
90051,96653,00:00.0,SIP,CHEQUE,ONGOING,3,250797.6293,74059,24686,M,Y,123,10.1595086,Continuing
90052,40812,00:00.0,SIP,CHEQUE,ONGOING,1,4861.0147,338027,338027,F,N,121,0.014380552,Completed
90053,1097,00:00.0,SIP,CHEQUE,NFO,5,1470125.577,419529,83905,M,N,151,17.52131073,Completed
90054,1095,00:00.0,SIP,CHEQUE,ONGOING,4,1234478.083,295953,73988,F,N,151,16.6848419,Completed
90055,2423,00:00.0,SIP,CHEQUE,ONGOING,1,6096.1658,42151,42151,M,N,141,0.144626837,Continuing
90056,2420,00:00.0,SIP,CHEQUE,ONGOING,1,389551.5453,162953,162953,M,N,151,2.390576088,Completed
90057,1977,00:00.0,SIP,CHEQUE,ONGOING,2,40818.6018,365185,182592,M,Y,423,0.223550877,Completed
90058,69163,00:00.0,LUMSUM,CHEQUE,ONGOING,2,2288660.321,182702,91351,M,N,152,25.05347857,Completed
90059,2436,00:00.0,LUMSUM,CHEQUE,ONGOING,6,23900160.65,180671,30111,M,N,155,793.7352014,Continuing
90060,2598,00:00.0,SIP,CHEQUE,ONGOING,1,1714.1214,66416,66416,M,N,121,0.025808862,Completed
90061,9468,00:00.0,SIP,CHEQUE,ONGOING,7,895254.2899,613978,87711,M,Y,535,10.20686447,Completed
90062,9772,00:00.0,LUMSUM,CHEQUE,ONGOING,15,585916.0014,3956528,263768,M,N,151,2.221330872,Completed
90063,9864,00:00.0,LUMSUM,CHEQUE,ONGOING,6,487294.3906,109164,18194,M,N,152,26.78324671,Continuing
90064,9854,00:00.0,LUMSUM,CHEQUE,ONGOING,17,5039200.787,1158591,68152,M,N,152,73.94061491,Completed
90065,9023,00:00.0,SIP,CHEQUE,ONGOING,19,9025604.26,1677486,88288,M,Y,555,102.2291168,Completed
90066,61920,00:00.0,SIP,CHEQUE,NFO,8,429427.0182,555741,69467,M,Y,554,6.181741233,Completed
90067,10969,00:00.0,SIP,CHEQUE,ONGOING,2,1259697.416,325626,162813,M,N,151,7.737081291,Completed
90068,11093,00:00.0,SIP,CHEQUE,ONGOING,7,981453.8879,1451326,207332,M,N,151,4.733730866,Completed
90069,11090,00:00.0,SIP,CHEQUE,ONGOING,2,212525.4364,272429,136214,F,N,151,1.560231961,Completed
90070,12250,00:00.0,SIP,CHEQUE,ONGOING,2,146775.4185,48423,24211,M,Y,525,6.062344327,Continuing
90071,11078,00:00.0,LUMSUM,CHEQUE,ONGOING,3,331554.3183,41855,13951,F,N,151,23.76563102,Continuing
90072,11191,00:00.0,SIP,CHEQUE,ONGOING,5,1260037.239,788045,157609,F,Y,522,7.994703594,Completed
90073,11362,1899-12-30 00:00:00.000,SIP,CHEQUE,ONGOING,1,0.0514,24132,24132,M,Y,121,2.13E-06,Continuing
90074,36032,00:00.0,SIP,CHEQUE,ONGOING,15,6850511.057,980196,65346,M,N,153,104.834436,Completed
90075,11825,00:00.0,SIP,CHEQUE,ONGOING,3,482760.2574,118835,39611,F,Y,414,12.18753017,Continuing
90076,13207,00:00.0,SIP,CHEQUE,ONGOING,9,4744075.631,2434309,270478,M,Y,425,17.5395989,Completed
90077,65969,00:00.0,LUMSUM,CHEQUE,ONGOING,4,360029.5162,93861,23465,M,Y,425,15.3432566,Continuing
90078,12540,00:00.0,SIP,CHEQUE,ONGOING,1,532910.3475,172680,172680,M,N,151,3.086115054,Completed
90079,12560,00:00.0,SIP,CHEQUE,ONGOING,12,2804906.439,1019226,84935,F,Y,152,33.02415305,Completed
90080,12533,00:00.0,LUMSUM,CHEQUE,ONGOING,6,765863.8475,126650,21108,M,N,152,36.28310818,Continuing
90081,12566,00:00.0,SIP,CHEQUE,ONGOING,2,833.9028,148109,74054,M,Y,121,0.011260739,Completed
90082,195283,00:00.0,LUMSUM,CHEQUE,ONGOING,14,3229228.848,359851,25703,F,Y,423,125.6362622,Continuing
90083,12903,00:00.0,SIP,CHEQUE,ONGOING,4,513542.1958,336799,84199,M,Y,113,6.099148396,Completed
90084,12415,00:00.0,SIP,CHEQUE,ONGOING,3,160232.0087,10723,3574,F,N,152,44.8326829,Continuing
90085,230600,00:00.0,SIP,DD,ONGOING,9,483881.5418,199979,22219,M,Y,223,21.77782717,Continuing
90086,68203,00:00.0,SIP,CHEQUE,ONGOING,1,23470.3325,29620,29620,M,Y,321,0.792381246,Continuing
90087,11894,00:00.0,SIP,CHEQUE,ONGOING,1,465120.9331,155805,155805,F,Y,151,2.985276038,Completed
90088,152460,1899-12-30 00:00:00.000,SIP,CHEQUE,ONGOING,17,2265542.159,378796,22282,M,Y,525,101.675889,Continuing
90089,14025,00:00.0,LUMSUM,DD,ONGOING,15,17509094.47,3370975,224731,M,Y,225,77.91134498,Completed
90090,14832,00:00.0,SIP,CHEQUE,ONGOING,3,470288.4737,197537,65845,M,N,151,7.142356651,Completed
90091,14673,00:00.0,LUMSUM,CHEQUE,ONGOING,9,2383546.861,1199730,133303,M,N,151,17.88066931,Completed
90092,14605,00:00.0,SIP,CHEQUE,ONGOING,7,3800405.761,258615,36945,F,N,153,102.866579,Continuing
90093,14373,00:00.0,SIP,CHEQUE,ONGOING,1,7690.3793,104930,104930,M,Y,542,0.073290568,Completed
90094,14464,00:00.0,SIP,CHEQUE,ONGOING,18,10991129.82,1163623,64645,M,Y,524,170.0228914,Continuing
90095,17048,00:00.0,SIP,CHEQUE,ONGOING,6,81416.744,49574,8262,M,Y,423,9.854362624,Continuing
90096,386528,00:00.0,SIP,CHEQUE,ONGOING,3,413153.7173,193798,64599,F,N,151,6.395667383,Continuing
90097,386531,00:00.0,SIP,CHEQUE,ONGOING,1,23337.6113,97525,97525,F,N,151,0.239298757,Completed
90098,386535,00:00.0,SIP,CHEQUE,ONGOING,2,72592.1174,31181,15590,F,N,151,4.656325683,Continuing
90099,386536,00:00.0,LUMSUM,CHEQUE,ONGOING,1,639983.9858,96457,96457,M,N,151,6.634914893,Completed
90100,386539,00:00.0,SIP,CHEQUE,ONGOING,1,148791.8478,93782,93782,F,N,151,1.586571493,Completed
90101,386546,00:00.0,SIP,CHEQUE,ONGOING,4,175573.562,283045,70761,M,N,151,2.481219344,Completed
90102,386557,00:00.0,LUMSUM,CHEQUE,ONGOING,7,725280.3705,169780,24254,F,N,152,29.90353634,Continuing
90103,386561,00:00.0,SIP,CHEQUE,ONGOING,1,18239.2724,258,258,M,N,452,70.69485426,Continuing
90104,386667,00:00.0,SIP,CHEQUE,ONGOING,3,674575.3441,197989,65996,M,N,353,10.22145803,Completed
90105,386668,00:00.0,SIP,CHEQUE,ONGOING,3,360670.1418,92424,30808,F,N,151,11.70702875,Continuing
90106,386669,00:00.0,SIP,CHEQUE,ONGOING,2,754644.4569,188721,94360,M,N,151,7.997503782,Completed
90107,386670,00:00.0,SIP,CHEQUE,ONGOING,8,636408.7554,203684,25460,F,Y,523,24.99641616,Continuing
90108,386673,00:00.0,SIP,CHEQUE,ONGOING,2,13809.033,3372,1686,F,N,251,8.190411032,Continuing
90109,386676,00:00.0,SIP,CHEQUE,ONGOING,1,25183.9907,84459,84459,M,N,151,0.298180072,Completed
90110,386683,00:00.0,SIP,CHEQUE,ONGOING,1,33361.44,94642,94642,M,N,151,0.352501426,Completed
90111,386684,00:00.0,LUMSUM,CHEQUE,NFO,1,51836.2057,26,26,F,Y,143,1993.700219,Continuing
90112,386686,00:00.0,SIP,CHEQUE,ONGOING,4,635226.5801,373683,93420,M,N,151,6.799685079,Completed
90113,386688,00:00.0,SIP,CHEQUE,ONGOING,3,400.6807,27909,9303,M,N,121,0.043070053,Continuing
90114,386689,00:00.0,SIP,CHEQUE,ONGOING,18,4929146.272,683852,37991,F,N,153,129.7451047,Continuing
90115,386691,00:00.0,LUMSUM,CHEQUE,ONGOING,1,52734.6387,31,31,M,N,555,1701.117377,Continuing
90116,386692,00:00.0,SIP,CHEQUE,NFO,4,1741342.544,348561,87140,F,Y,525,19.98327455,Completed
90117,386693,00:00.0,SIP,CHEQUE,ONGOING,1,14868.498,92745,92745,M,N,141,0.160315898,Completed
90118,386695,00:00.0,SIP,CHEQUE,ONGOING,1,335451.4066,91543,91543,M,N,151,3.664413517,Completed
90119,386696,00:00.0,SIP,CHEQUE,ONGOING,2,41729.4269,10554,5277,M,Y,423,7.907793614,Continuing
90120,386699,00:00.0,SIP,CHEQUE,ONGOING,5,298958.1762,429096,85819,M,N,151,3.483589604,Completed
90121,386700,00:00.0,SIP,CHEQUE,ONGOING,1,103284.7347,110386,110386,F,N,151,0.935668787,Completed
90122,386703,00:00.0,SIP,CHEQUE,ONGOING,3,133794.4231,123293,41097,M,N,151,3.255576395,Continuing
90123,386705,00:00.0,SIP,CHEQUE,ONGOING,2,340171.6611,23337,11668,M,N,152,29.15423904,Continuing
90124,386707,00:00.0,SIP,CHEQUE,ONGOING,1,61302.7149,69757,69757,M,N,151,0.878803775,Completed
90125,386708,00:00.0,SIP,CHEQUE,ONGOING,2,328905.8206,183525,91762,M,N,151,3.584335788,Completed
90126,386710,00:00.0,SIP,CHEQUE,ONGOING,2,1388498.132,372094,186047,M,N,151,7.463157868,Completed
90127,386714,00:00.0,LUMSUM,CHEQUE,ONGOING,3,374770.2022,73486,24495,M,N,151,15.29986537,Continuing
90128,386718,00:00.0,SIP,CHEQUE,ONGOING,2,293791.0453,90959,45479,M,N,151,6.459927556,Continuing
90129,386748,00:00.0,LUMSUM,CHEQUE,ONGOING,14,4286472.996,323870,23133,M,N,153,185.2968917,Continuing
90130,386779,00:00.0,SIP,CHEQUE,ONGOING,2,2469.9688,59235,29617,M,N,131,0.083396995,Continuing
90131,386781,00:00.0,LUMSUM,CHEQUE,ONGOING,1,23294.636,258,258,F,N,452,90.28928682,Continuing
90132,386782,00:00.0,SIP,CHEQUE,ONGOING,4,1169068.531,120664,30166,M,Y,343,38.7545094,Continuing
90133,386784,00:00.0,LUMSUM,CHEQUE,ONGOING,4,152910.2847,29643,7410,F,N,151,20.63566595,Continuing
90134,386786,00:00.0,SIP,CHEQUE,ONGOING,1,1926.0539,91174,91174,F,N,121,0.021125035,Completed
90135,386787,00:00.0,SIP,CHEQUE,ONGOING,1,170514.7704,94152,94152,M,N,151,1.811058399,Completed
90136,386788,00:00.0,SIP,CHEQUE,ONGOING,2,22556.4451,81671,40835,M,N,151,0.552380191,Continuing
90137,386794,00:00.0,LUMSUM,CHEQUE,ONGOING,2,150049.8305,182301,91150,F,Y,151,1.646185743,Completed
90138,386795,00:00.0,SIP,CHEQUE,ONGOING,2,51134.4956,14501,7250,M,N,151,7.053033876,Continuing
90139,386797,00:00.0,SIP,CHEQUE,NFO,4,384132.2752,216661,54165,M,N,151,7.091890985,Continuing
90140,386798,00:00.0,SIP,CHEQUE,ONGOING,2,99348.1466,3745,1872,M,N,152,53.07059113,Continuing
90141,386799,00:00.0,SIP,CHEQUE,ONGOING,1,106089.023,27252,27252,F,N,151,3.892889439,Continuing
90142,386800,00:00.0,LUMSUM,CHEQUE,ONGOING,2,44670.9916,4,2,M,N,555,22335.4958,Continuing
90143,386802,00:00.0,LUMSUM,CHEQUE,ONGOING,1,1277928.004,42337,42337,F,N,152,30.18466126,Continuing
90144,386803,00:00.0,SIP,CHEQUE,ONGOING,2,394528.7995,213917,106958,M,N,151,3.688632917,Completed
90145,386804,00:00.0,SIP,CHEQUE,ONGOING,3,664164.8856,94553,31517,F,N,151,21.07322669,Continuing
90146,386805,00:00.0,SIP,CHEQUE,ONGOING,1,3571.1908,2305,2305,M,N,151,1.549323557,Continuing
